Artist,Song,Lyrics
Avicii,Silhouettes," Press play, fast forward Nonstop, we have a beaten path before us It was all there, in plain sight Come on people, we have all seen the signs   So we will never get back to To the old school To the old grounds, it's all about the newfound We are the newborn, the world knew all about us    We've come a long way since that day And we will never look back at the faded silhouette We've come a long way since that day And we will never look back, look back at the faded silhouette     Straight ahead on the path we have before us Day by day, soon the change will come Don't you know we took a big step forward Just lead the way and we pull the trigger  And we will never get back to To the old school To the old grounds, it's all about the newfound We are the newborn, the world knew all about us    We've come a long way since that day And we will never look back at the faded silhouette We've come a long way since that day We've come a long way since that day And we will never look back at the faded silhouette We've come a long way since that day And we will never look back, look back at the faded silhouette  17Embed"
Avicii,Fades Away," All of the troubled times that we have overcome All of the trials to find somewhere that we belong All I know is that, with you, I'm holding on 'Cause all of the days out, all of the days out on the run   Don't you love it? How it all just fades away When your clothes don't feel the songs of yesterday And I can't go back, and I can't go back Don't you love it? How it all, it all just fades away   It all just fades away   All of the tracks we traced, we raced to reach the sun All of the lights to find a place where we belong All I know is that, with you, I'm moving on 'Cause all of the days out, all of the days out on the run   And I can't go back, and I can't go back Don't you love it? How it all, it all just fades away   It all just fades away It all just fades away It all just fades away It all just fades away  And I can't go back and I can't go back Don't you love it? How it all, it all just fades away14Embed"
Avicii,Shame on Me," Ok, number seven!   Shame on me for loving you Can't deny that you've been untrue You lie so sweet but you love to tease Putting out fire with your gasoline Woah! Yeah!   I'm baptized and born again You can go to hell with your fucked-up friends Crazy little bitch in the first degree Shame on you for loving me Yeah! Woah!      That's what I get for loving you  You know I can't live without you  And all the things you put me through  'Cause I'll get my kicks without you    That's what I get for loving you Oh I can't live without you That's what I get for loving you Oh I can't live without you   Shame on me for loving you But you can't deny that you've been untrue You lie so sweet but you love to tease Putting out fire with your gasoline Uh-dut-dut-dut, dut-up! Yeah!   Are you baptized and born again? I'mma raise hell to the bitter end I'm a crazy little bitch in the first degree Shame on you for loving me Ha! Yeah, yeah yeah! Uh, uh, uh!    That's what I get for loving you  You know I can't live without you  And all the things you put me through  'Cause I'll get my kicks without you  And I believed in you and I- Believed in you and you     That's what I get for loving you7Embed"
Avicii,Ain’t a Thing," I swear I'm losing patience For all of these fucking situations And I swear I never say shit But this time I'm gonna say it   When the record's on the final song And the parties will be long, long gone All the pretenders and the hangers on Can go find themselves another one   But it ain't a thing, yeah But it ain't a thing But it, but it ain't a thing, yeah But it, but it ain't a thing It ain't a thing, baby   Hey, it ain't a thing, baby   I swear I'm losing patience  All of these fucking altercations Yeah, and I swear I never say shit  But this time I really mean it  When the record's on the final song And the parties will be long, long gone All the pretenders and the hangers on Can go find themselves another one   But it ain't a thing, yeah But it ain't a thing But it, but it ain't a thing, yeah But it, but it ain't a thing It ain't a thing, baby   It ain't a thing, baby It ain't a thing, baby It ain't a thing, baby   But it ain't a thing, yeah But it ain't a thing But it, but it ain't a thing, yeah But it, but it ain't a thing It ain't a thing, baby   It ain't a thing, baby But it ain't a thing, ain't a thing It ain't a thing, baby5Embed"
Avicii,Talk to Myself," Alone, I'm searching for devotion In a faded melody My soul is trying to cross an ocean Down on bended knee Lock up my cadence and rhyme Don't know what I'm trying to say My heart, all the time was stolen by bad poetry   Some nights I talk to myself I say the words that I could say to no one else And some nights I talk in my sleep I say the words I never said when you were with me Some nights I talk to myself I say the words that I could say to no one else And some nights I talk in my sleep I say the words I never said when you were with me   I'm gone, the nightmares cut me open Love's insanity So long, words are left unspoken I couldn't set them free Watch all the language run dry, thoughts go on holiday My heart, I'm left with a broken vocabulary  Some nights I talk to myself I say the words that I could say to no one else And some nights I talk in my sleep I say the words I never said when you were with me   Some nights I talk to myself I say the words that I could say to no one else And some nights I talk in my sleep I say the words I never said when you were with me Some nights I talk to myself I say the words that I could say to no one else And some nights I talk in my sleep I say the words I never said when you were with me4Embed"
Avicii,Peace of Mind," Dear society You are moving way too fast Way too fast for me I'm just tryin' to catch my breath   Can I get a little peace of mind? And a little bit of silence to unwind?   Relief, do you need a relief? Do you need a relief? Do you need a release? Do you wanna be free? Do you wanna be free? Do you wanna be free? Do you wanna be– Can I get a little peace of mind?   Dear society You are moving way too fast Way too fast for me I'm just tryin' to catch my breath   Relief, do you need a relief? Do you need a relief? Do you need a release? Do you wanna be free? Do you wanna be free? Do you wanna be free? Do you wanna be– Do you wanna let, let go? Do you wanna let go? Do you wanna let go? Do you wanna let go? Do you wanna be free? Do you wanna be free? Do you wanna be free? Do you wanna be– Can I get a little peace of mind? And a little bit of silence to unwind?  Dear society You are moving way too fast Way too fast for me I'm just tryna to catch my breath   Relief, do you need a relief? Do you need a relief? Do you need a release? Do you wanna be free? Do you wanna be free? Do you wanna be free? Do you wanna be– Do you wanna let, let go? Do you wanna let go? Do you wanna let go? Do you wanna let go? Do you wanna be free? Do you wanna be free? Do you wanna be free? Do you wanna let–   Can I get a little peace of mind?17Embed"
Avicii,Never Leave Me," I'm always left out, stranded on the fence You came along, no ego, no pretense In the trance, we danced and prayed for no tomorrow We were brash and we were bold, but we were right   She knows how I'm feeling She banishes all my demons So easy, like breathing She bandages all my bleeding She knows how I love her We take it down undercover She gets me, she sees me I hope that she'll never leave me   I hope that she'll never leave me   I'm always left out, chasing innocence You came along, you showed me what it meant In the daze, we raced, yeah, dreaming of tomorrow We were brash and we were bold, but we were right   And I reckon we can take our time  And I reckon we can go a while  And I'll be there at the borderline  'Cause I owe you all the best of me  She knows how, I'm feeling She banishes all my demons So easy, like breathing She bandages all my bleeding She knows how I love her We take it down undercover She gets me, she sees me I hope that she'll never leave me    I hope that she'll never leave me  I hope that she'll never leave me     She knows how I'm feeling She banishes all my demons So easy, like breathing She bandages all my bleeding She knows how I love her We take it down undercover She gets me, she sees me I hope that she'll never leave me5Embed"
Avicii,Feeling Good," Birds flying high You know how I feel Sun in the sky You know how I feel Breeze drifting on by You know how I feel It's a new dawn It's a new day It's a new life for me And I'm feeling good   Fish in the sea You know how I feel River running free You know how I feel Blossom on a tree You know how I feel It's a new dawn It's a new day It's a new life for me And I'm feeling good   Dragonfly out in the sun You know what I mean, don't you know Butterflies all having fun You know what I mean Sleep in peace when day is done That's what I mean And this whole world Is a new world And a whole world for me  Stars, when you shine You know how I feel Scent of the pine You know how I feel Oh, freedom is mine And I know how I feel It's a new dawn It's a new day It's a new life for me Yes, it's a new dawn It's a new day It's a new life for me And I'm feeling good And I'm feeling good11Embed"
Avicii,Gonna Love Ya," I'm gonna love ya, like no one could Make your heart feel the way it should I'm gonna hold ya, when no one would Cause I swear you deserve so good   Livin' up in California Lovin' life but I've been waiting for ya Turn my dreams and twist my fate But God I hope it's not too late   I'm gonna love ya, I'm gonna love ya I'm gonna love ya, I know I could   I'm gonna love ya, like no one could Make your heart feel the way it should I'm gonna hold ya, when no one would Cause I swear you deserve so good   Sometimes it's hard to have the upper hand When every dream you've had is turning into sand You need someone to make your day But he took your breath and blew it away  I'm gonna love ya, like no one could Make your heart feel the way it should I'm gonna hold ya, when no one would Cause I swear you deserve so good   I'm gonna love ya, I'm gonna love ya I'm gonna love ya, I know I could I'm gonna love ya, I'm gonna love ya I'm gonna love ya, I know I could  I'm gonna love ya, I'm gonna love ya I'm gonna love ya, I know I could I'm gonna love ya, I'm gonna love ya I'm gonna love ya, I know I could   I'm gonna love ya like he never could Cause I know you deserve so good4Embed"
Avicii,Hope There’s Someone," Hope there's someone who'll take care of me When I die, will I go? Hope there's someone who'll set my heart free Nice to hold when I'm tired   There's a ghost on the 'rizon When I go to bed How will I fall asleep tonight How will I rest my head?   And godsend I don't want to go To the seal's watershed And there's a ghost on the 'rizon When I go to bed   Oh I'm scared of that middle place Between light and nowhere I don't want to be the one Left in there, left in there   And there's a man on the 'rizon Wish that I go to bed And if I fall to his feet tonight How will I rest my head?  And godsend I don't want to go To the seal's watershed And there's a ghost on the 'rizon When I go to bed10Embed"
Avicii,Seek Bromance," I've been watching you, you've been hurting too You give all your love, nothing left to show I have been there too, alone in my despair Watching life go by, no one who to share Boy, you got it bad, but I got something good I will treat you good in every way, yeah You will never feel alone, my touch is such a rush It overflows   I will give to you the love you seek and more So what are you waiting for? I will give to you the love you seek and more     I will give to you the love you seek and more You're what I'm waiting for I will give to you the love you seek and more You're all I really need I will give to you the love you seek and more So what are you waiting for? I will give to you the love you seek and more  Baby, here we are, standing face to face Just the two of us, locked in your embrace Now I got it bad, but you got something good Won't you treat me good in every way? Yeah Are you ready? I can feel your passion and your love It overflows   I will give to you the love you seek and more So what are you waiting for? I will give to you the love you seek and more   I got the love you seek I got the love you seek I got the love you seek I got the love   I will give to you the love you seek and more So what are you waiting for? I will give to you the love you seek and more  I will give to you the love you seek and more You're what I'm waiting for baby I will give to you the love you seek and more4Embed"
Avicii,True Believer," I wasn't always the brightest Until I learned how to dance You got me thinking Love will come around but you Never gave me a chance I might not been the tallest Until I learned how to jump You got me thinking Love will come around but you Never say I'm the one   If I could make you, make you fall in love with me If I could make you, make you fall in love Wish I could make you, make you fall in love Maybe love will come around, if you want it enough Maybe love will come around, if you want it enough   Love will come around Maybe love will come around for us   I wasn't always the bravest They say you only live once So you got me thinking I'm so glad I found ya Life's what you make it, so here it comes  If I could make you, make you fall in love with me If I could make you, make you fall in love Wish I could make you, make you fall in love Maybe love will come around, if you want it enough Maybe love will come around, if you want it enough   If you're a true believer If you're a true believer Love will come around, love will come around for us3Embed"
Avicii,I’ll Be Gone," I gave my world away A million rainy days Such a shame in a way And no one else alive Sacrificed everything A million broken dreams And I don't want to stay I did it anyway   The stars all rise The moon won't shine The stars fall out of the sky And I could be your guiding light All through the night All through your life   I'll be gone before you know it Long, long, gone  Like the sun And now the day is burning I don't mind Spending some time on my own 4Embed"
Avicii,Excuse Me Mr Sir," Checking, checking, microphone checking I'll tell you what you need to know Holla, holla, gotta make a dollar Time to put on a show Many, many, one too many People try to fill my shoes But see ya, see ya, see ya 'round later I'm about to make a move   I'm a roller coaster beyond belief I'm what you need, what you really, really need 'Cause you're always coming back to me Bring it back now I'm a riot walking down the street I'm what you need, what you really, really need 'Cause you're always coming back to me Bring it back now    I'm a villain, villain 'bout to make a million One too many records sold  Chillin' while I keep on building See you fuckers down the road  Better, better, feeling much better Tonight, I'll do it all again  Ticking, ticking, time keeps ticking I'm rolling up till the end Bring it back now  I'm a roller coaster beyond belief I'm what you need, what you really, really need 'Cause you're always coming back to me Bring it back now I'm a riot walking down the street I'm what you need, what you really, really need 'Cause you're always coming back to me Bring it back now    Excuse me, Mr. Sir I don't understand a word Your inquiries are none of my concern Excuse me, Mr. Sir I don't understand your world With all due respect, I best be on my way   I'm what you need, what you really, really I'm what, I'm what you need, what you really, really I'm what, I'm what you need, what you really, really need 'Cause you're always coming back to me Bring it back now I'm what you need, what you really, really I'm what, I'm what you need, what you really, really I'm what, I'm what you need, what you really, really need 'Cause you're always coming back to me Bring it back now15Embed"
Avicii,City Lights," City lights, take me away Now it's time, we never ever head down Don't be scared, I am for real Hide away and we will never be found   It's alright, we never look back Birds will sing if we fall It's alright, with memories inside Midnight dust on the floor Watch it turn into gold   And I don't even know what's real And I don't know what to feel I'm your truth in disguise, I'm in love with your lies 'Cause I can't breathe, can't settle down And I don't know what to feel No, I don't know what to feel   See these lights, we're getting away Heads won't find us, we're not making a sound We're not scared, we are for real Love can't hurt us, now we're sheltered by lies  It's alright, we never look back Birds will sing if we fall It's alright, with memories inside Midnight dust on the floor Watch it turn into gold   And I don't even know what's real And I don't know what to feel I'm your truth in disguise, I'm in love with your lies 'Cause I can't breathe, can't settle down And I don't know what to feel No, I don't know what to feel1Embed"
Avicii,Lord/All My Life,"Lord/All My Life LyricsAll my life I just wanted to be free All my life I've been blind I've been taught by greed Ohh Lord, what's wrong, what's wrong with me? Ohh Lord, but that is all I see  All my life I just wanted to be free All my life I've been blind I've been taught by greed Ohh Lord, what's wrong, what's wrong with me? Ohh Lord, but that is all I see  All my life I just wanted to be free All my life I've been blind I've been taught by greed Ohh Lord, what's wrong, what's wrong with me? Ohh Lord, but that is all I see2Embed"
Avicii,Our Love," I'd sail away Just to follow you I'd chase the dream Across the blue 'Cause I am rich No matter what I lose I'd rather risk it all to find the truth   All because of, our love All because, of our love All because, of our love It's all because, of our love It's all because, of our love Oh all because, of our love All because, of our love It's all because, of our love   I'm gonna change my heart And start anew Turn myself into someone new If I can't be the one I choose I'd rather leave it all And die with you  All because of, our love All because, of our love All because, of our love It's all because, of our love It's all because, of our love Oh all because, of our love All because, of our love It's all because, of our love2Embed"
Avicii,All You Need Is Love," I was low, didn't believe in getting higher Didn't know, how easy it is to walk through the fire   Oh-oh-oh-oh! You Opened the stars in my heart You let in the light from the dark It's like the first time I realized that all you need is love   And I'm feeling, never letting go Oh, you take me, somewhere off the globe Do you feel it? It's like the first time I realized that all you need is love  Yeah, I'm feeling, never letting go Oh you take me, somewhere off the globe Do you feel it? It's like the first time I realized that all you need is love   I was saved, cause nothing's too free for my heart's content All the way, yeah, up to the edge and I'm fine jumping   Oh-oh-oh-oh-oh! Cause you Opened the stars in my heart You let in the light from the dark It's like the first time I realized that all you need is love  And I'm feeling, never letting go Oh, you take me, somewhere off the globe Do you feel it? It's like the first time I realized that all you need is love3Embed"
Avicii,Touch Me," When you feel me up against your bones Now don't you tell me to leave you alone Now don't you tell me, now don't you tell me I wear the crown coz I'm the one To be anointed by you touch Oh how you heal me, oh how you heal me   I want you to touch me , touch me , touch me  I want you to touch me , touch me , touch me    Said you want it, baby  What you gonna do How you gonna please me What you gonna do  I just want, I want you to Said you want it, baby I'm starving here for you, what you gonna feed me What you wanna do, I want you, I want you   When you feel me up against your bones Now don't you tell me to leave you alone Now don't you tell me, now don't you tell me I wear the crown coz I'm the one To be anointed by you touch Oh how you heal me, oh how you heal me  I want you to touch me , touch me , touch me  I want you to touch me , touch me , touch me    I want you to touch me  I want you to touch me I want you to touch me I want you to touch me I want you, I want you to touch me Touch me I want you to touch me Touch me2Embed"
Avicii,Stay With You," Ain't nobody gonna tell me shit I'm still wrapped around your fingertip And all my friends, they love to call me whipped But what they just don't know  Is I've looked in New York City And I've looked in Boston too I found a couple that are pretty But I'm still gonna stay with you   Ain't nobody gonna tell me shit I'm still wrapped around your fingertip And all my friends, they love to call me whipped But what they just don't know  Is I've looked in San Francisco And I've looked all through L.A I've looked in Dallas, Texas But they didn't feel the same So I looked in Detroit city Then I checked back at Duke I found a couple that were pretty But I'm still gonna stay with you I'm still gonna stay with   I'm still gonna stay with you5Embed"
Avicii,Fade Into Darkness," Looking up there's always sky Rest your head, I'll take you high We won't fade into darkness Won't let you fade into darkness   Why worry now? You'll be safe Hold my hand, just in case And we won't fade into darkness Fade into darkness No, we won't fade into darkness Fade into darkness   And we won't fade into darkness Fade into darkness No, we won't fade into darkness Fade into darkness   This world can seem cool and grey But you and I are here today And we won't fade into darkness No, we won't fade into darkness Nothing to fear but fear itself We'll be okay just keep the faith  And we won't fade into darkness Fade into darkness No, we won't fade into darkness Fade into darkness   Fade into darkness Fade into darkness And we won't fade into darkness Fade into darkness No, we won't fade into darkness Fade into darkness Fade into darkness6Embed"
Avicii,Long Road to Hell," Yeah! Our story goes He went down to the crossroads He sat down and kept his eyes closed Well, everyone has a price, child And what it cost him Was his soul   You think you're getting away No escape from the deal you made You walked right into his plan Run as fast as you think you can Back from wherever you came Call the devil by any name Oh no! Now, who you do blame? Should have listened to what I'd said What I'd said, what I'd said, yeah!   I don't know if I'll be coming home again, home again No, I don't know if I'll be coming home It's a long road to hell without no soul   Just when you think you're getting away No escape from the deal you made You walked right into his plan Run as fast as you think you can Back from wherever you came Call the devil by any name Oh no! Now, who you do blame? Should have listened to what I'd said What I'd said, what I'd said, yeah! Let me tell you it's a hard road to hell without no soul5Embed"
Avicii,Unbreakable," Renegade by nature child of the wild Wrestling with danger right into the arms of the night Fear ain't going to save you, so run for your life Let the moment take you right into the arms of the light   When thunder roars, the winds will blow And through the storm, I’ll ride alone   Walls can't contain me, nothing can chain me Unbreakable tonight No tears will I cry, my animal eyes, unbreakable I'm unbreakable, unbreakable1Embed"
Avicii,Promises Of Tears," They saw the lies I've told, make things right before I'm old Nothing left for us to say, broken down on the freeway Roadside I see things clearer Outside my rearview mirror Slave to the road, stuck by your side I'm nothing but a passenger along for the ride I'm nothing but a passenger along for the ride   When I peer through my rearview mirror Getting smaller as I disappear Suddenly everything is so much clearer And all I'm left with is my good friend fear And promises of tears, and promises of tears     They saw the lies I've told, make things right before I'm old Nothing left for us to say, broken down on the freeway Roadside I see things clearer Outside my rearview mirror Slave to the road, stuck by your side I'm nothing but a passenger along for the ride I'm nothing but a passenger along for the ride  When I peer through my rearview mirror Getting smaller as I disappear Suddenly everything is so much clearer And all I'm left with is my good friend fear And promises of tears, and promises of tears  Embed"
Avicii,Alcoholic,   Call it what you wanna call it I'm a fucking alcoholic  Embed
Avicii,How Many Lovers," How many lovers can one man do? Too many numbers, how 'bout you? Sure hard to handle if more than two Soon as you lock eyes, then you're screwed But I go and say too much I don't pay no mind enough   I may be a bastard in your eyes But I ain't fucking with all of those lies Forever alone, I pay the price Cause I ain't fucking with all of those lies But I don't mind, waste your time All of your beating is feeding me mine Forever alone, I pay the price Cause I ain't fucking with all of those lies     Everyone looking for something true Someone to love and be loved by too Hard to get old when love is new Never can tell what the love will do But I go and say too much I don't pay no mind enough  I may be a bastard in your eyes But I ain't fucking with all of those lies Forever alone, I pay the price Cause I ain't fucking with all of those lies But I don't mind, waste your time All of your beating is feeding me mine Forever alone, I pay the price Cause I ain't fucking with all of those, all of those, all of those lies  1Embed"
Avicii,Always on the Run," Take me from the city, let's go for a drive Take me, Take me anywhere, just make me feel alive Make me feel this fire, higher than the sun Things could be so easy but we're always on the run   Always on the run, always on the run Things could be so easy but we're always on the run Always on the run, always on the run Things could be so easy but we're always on the run   Oh-oh! Oh-oh-oh! On the run, on the run, run, run, run Oh-oh! Oh-oh-oh! Things could be so easy but we're always on the run   We could save our money, we could buy a house Hit back on our patio, watching fireflies We could feel this fire, higher than the sun Things could be so easy but we're always on the run   Always on the run, always on the run Things could be so easy but we're always on the run Always on the run, always on the run Things could be so easy but we're always on the run  Oh-oh! Oh-oh-oh! On the run, on the run, run, run, run Oh-oh! Oh-oh-oh! Things could be so easy but we're always on the runEmbed"
Avicii,Can’t Love You Again," Remember all those nights When all our neighbors could hear us sing Remember all the fights And all the makeups that they would bring   But now those days are gone And summer's turned to fall You know how much I know But please I beg don't call   I'm trying to leave you alone I've been dying to pick up the phone Yeah, and around and around and they always go And I can't love you again I can't love you again     Remember all those days All those days we were drunk in love Remember all those waves All those waves we would sober up  But now those days are gone And summer's turned to fall Let's leave it in this song So baby please I beg don't call   I'm trying to leave you alone I've been dying to pick up the phone Yeah, and around and around and they always go, yeah I can't love you again  I'm trying to leave you alone I've been dying, I know that you know And around and around and they always go And I can't love you again I can't love you again I can't love you again I can't love you again1Embed"
Avicii,Change a Thang," Every freckle's where it's supposed to be I play your body like a symphony Unless you're gonna add on my last name Then you don't needa change a thing   Autumn colors blended in your eye Your creator must've took his time Don’t you switch up, don’t you rearrange No, you don’t needa change a thing   'Cause when I wake up in the morning I kinda feel like I’m a king 'Cause when I see you there beside me No, I would not change a thing   You don’t needa put no make-up on You wake up looking like a Sam Cooke song  Don’t do nothing, keep it just the same No, you don’t needa change a thing   Oh, you’re Carolina on a perfect day You look like April, baby, if I may And if I had to, darling, I would pay You to never, ever change a thing  'Cause when I wake up in the morning I kinda feel like I’m a king 'Cause when I see you there beside me No, I would not change a thing   'Cause when the lord freestyled your body He didn’t make not one mistake And though the TV tells you different No, you don’t needa change a thing Change No Change   'Cause when I wake up in the morning I kinda feel like I’m a king 'Cause when I see you there beside me I would not change a, no And when the lord freestyled your body He didn’t make not one mistake And though at times, I know that you hate yourself I would not change a, I would not change a thing   Change Ahh, yeah, don't I won't change Hey, hey, hey2Embed"
Avicii,Half The Man," Since I can remember Since I was a child You gave me all you could and all you had Now that I am older and now that I am grown I see how hard you worked to make our house a home   If I turn out half the man you are I’ll be happy with my life Show me how to raise a family, and how to treat a wife You put food on the table so that I was able To follow every one of my dreams If I turn out half the man you are, I’ll be doing alright   You said don’t let life get in your way That would never get me down Love as if there’s no tomorrow to stand to be a man I can’t always make it easy but I’ll always lend a hand Through whatever comes together you and I will understand   If I turn out half the man you are I’ll be happy with my life Show me how to raise a family and how to treat a wife You put food on the table so that I was able To follow every one of my dreams If I turn out half the man you are I’ll be doing alright  And I know that I’m still hurting But I hope I make you proud At the man that I’m becoming and the man I am now And I know that I’ll keep learning Never told you this before You’re not only just a father To me you’re so much more To me you’re so much more   If I turn out half the man you are I’ll be happy with my life Show me how to raise a family and how to treat a wife You put food on the table so that I was able To follow every one of my dreams If I turn out half the man you are I’ll be doing alright   And I love, l love, I love, I love I love, I love you so And I love, l love, I love, I love I love, I love you so   And I know that I'll keep learningEmbed"
Avicii,Free," Woo I've been fighting too many wars Lady Luck please take me, I'm yours I've been losing, who's keeping score? 'Cause I know we've all been here before, yeah Give me good times 'fore they're all gone Love me, fool me, don't leave me alone All this time I've been rolling my stone And I still haven't found my way home But I know I'll be free, yeah, I know I'll be me again   Now the tides will carry you away from me But they can't last forever All the time that I been feeling lost at sea I still haven't found my way home But you're a star that I will follow where you lead 'Cause we belong together When the tides take me back where I used to be But I know I'll be free and I know I'll be me again   Free again I keep this fire burning my soul Leave it running out of control 'Til you're broken you don't know when you're whole Still tryna find my way home But I know I'll be free, yeah, I know I'll be me again  And now the tides will carry you away from me But they can't last forever All the time that I've been feeling lost at sea I still haven't found my way home But you're a star that I will follow where you lead 'Cause we belong together When the tides take me back where I used to be But I know I'll be free and I know I'll be me again1Embed"
Avicii,Black and Blue," How am I ever gonna get my head screwed back on? You chewed me up, you spit me out and left me here all alone You beat me up, broke me down Pieces of me scattered all around I'm black and blue Black and blue   How'd I ever wind up here in this smokey hotel? Neon blinking through the curtains and I'm hurtin' like hell I see the streets, I smell the rain But I don't feel a god damn thing but pain I'm black and blue Black and blue   I close my eyes and I see you standing there And I reach for you and you vanish in thin air Couldn't take time to say goodbye Ripped out my heart and left me here to die I'm black and blue Black and blue   So here I am looking down at the cold city lights Just another pair of eyes in the darkness tonight You took everything that I had to give You even took away my will to live I'm black and blue Black and blueEmbed"
Avicii,Dreaming Of Me,"Dreaming Of Me LyricsYou're flying high But I'm falling to pieces Trapped under your spell Until it releases  I'm drowning without your love Oh, sweet suffocation Are you real? Are you real? Are you real? Are you real? Are you really my creation?  Well there I go Dreaming that dream again But it seems so real, to taste, to feel this love I'm in  I know you're out there somewhere dreaming of me I know you're out there dreaming of me I know you're out there somewhere dreaming of me I know you're out there dreaming of me  Here I goEmbed"
Avicii,Alive,"   The rain can pour, the sun can shine But I don't mind The wounds will heal, the scars will fade But I'm still here to live another day! You put me down, build me up But they fail to remember That I am strong, no I'm not weak, I will not surrender   I am a fighter For freedom is my burning desire Oh come on baby, let’s start the fire With just this love to take us higher I can feel it burning Your love can keep me going   Whether I'm down on my knees Or if the world is on my shoulder I am alive I am alive    The wind will blow, it comes and goes But I don’t mind Even if the cross gets hard to bear I’m still here to live another day! You put me down, build me up But they fail to remember That I am strong, no I am not weak, I will not surrender   I am a fighter For freedom is my burning desire Oh come on baby, let’s start the fire With just this love to take us higher I can feel it burning Your love can keep me going   Whether I'm down on my knees Or if the world is on my shoulder I am alive I am alive  Embed"
Avicii,I Wanna Be Free," I've been a sinner more than I've been a saint Spend too much time being something that I ain't I'm sick and tired of being half right Chasing after a past lie Just another face in the crowd It's time to start living out loud   I wanna be free, yeah I wanna be free, yeah   I've been a sinner more than I've been a saint Spend too much time being something that I ain't I'm sick and tired of being half right Chasing after a past lie Just another face in the crowd It's time to start living out loud   I wanna be free, yeah I wanna be free, yeah   I wanna be free I wanna be free I wanna be free I wanna be free  I've been a sinner more than I've been a saint Spend too much time being something that I ain't I'm sick and tired of being half right Chasing after a past lie Just another face in the crowd It's time to start living out loud   I wanna be free, yeah I wanna be free, yeah   I've been a sinner more than I've been a saint Spend too much time being something that I ain't I'm sick and tired of being half right Chasing after a past lie Just another face in the crowd It's time to start living out loud   I wanna be free, yeah I wanna be free, yeah   I wanna be free I wanna be free I wanna be free I wanna be free I wanna be free I wanna be free1Embed"
Avicii,Hey Brother [Avicii by Avicii Remix]," LyricsHey brother! There's an endless road to rediscover Hey sister! Know the water's sweet but blood is thicker Oh, if the sky comes falling down, for you There's nothing in this world I wouldn't do Hey brother! Do you still believe in one another? Hey sister! Do you still believe in love? I wonder Oh, if the sky comes falling down, for you There's nothing in this world I wouldn't do What if I'm far from home? Oh brother, I will hear you call! What if I lose it all? Oh sister, I will help you hang on! Oh, if the sky comes falling down, for you There's nothing in this world I wouldn't do Hey brother! There's an endless road to rediscover Hey sister! Do you still believe in love? I wonder Oh, if the sky comes falling down, for you There's nothing in this world I wouldn't do What if I'm far from home? Oh brother, I will hear you call! What if I lose it all? Oh sister, I will help you hang on! Oh, if the sky comes falling down, for you There's nothing in this world I wouldn't doEmbed"
Avicii,Do It For Love,"Do It For Love LyricsDa, da, da (8x)  I wanna be where you holiday Come on, let the body go to stop today I wanna be where you call my name Ohh my love I wanna be where you holiday Come on, let the body go to stop the pain I wanna be where you call my name Oh, thats why you do it for love  Oh, love, my love Thats why you do it for love Da, da, da, da, da, da, da, da (3x) Thats why you do it for love Da, da, da, da, da, da, da, da (3x) Thats why you do it for love  I wanna be where you holiday Come on, let the body go to stop today I wanna be where you call my name Ohh my love I wanna be where you holiday Come on, let the body go to stop the pain I wanna be where you call my name Oh, thats why you do it for love Uhh (16x)2Embed"
Avicii,Broken Heart & Hennessy," Why'd you have to leave, why'd you have to go? Why you never call I'll never know Don't you know these scars never, ever healed Ooh, since you said goodbye Underneath the smile that I like to wear I am still a mess, you're unaware And I just play the fool while you play around Ooh, since you said goodbye   Why'd you have to cut me off, my dear? Why'd you have to poof and disappear? All that's left for me is memories A broken heart and HennessyEmbed"
Avicii,Put Your Hands All The Way Up," Put your hands all the way up All the way up Put your hands all the way up All the way up Put your hands all the way up All the way up Put your hands all the way up All the way up   Hands up far from  Said I wouldn't let you see past 21 up Said I'd be goin' 'cause I came from the same slum Don't know where I came from She probably wondering how Is this your turn Stains me now and move the crowd Mama ain't raise no fool My mine's  a diamond I'm from the city of jewels   Refugee from Haiti Flatboys to New Jersey Then I got with Fugees Now I'm with Avicii Raised in them tenements Speak for those less fortunate Then I ran for president Hands up if you with me  Put your hands all the way up All the way up Put your hands all the way up All the way up Put your hands all the way up All the way up Put your hands all the way up All the way up   Papa was a dishwasher The peer pressure got me selling cocaina One brick, two brick, three brick, four I could have been the one boys came for But now all we did is encores on tours Brooklyn, Sweden to Istanbul Life's a carnival, use my music Or I sellout to blow and I pray for my rivals   Refugee from Haiti Flatboys to New Jersey Then I got with Fugees Now I'm with Avicii Raised in them tenements Speak for those less fortunate Then I ran for president Hands up if you with me  Put your hands all the way up All the way up Put your hands all the way up All the way up Put your hands all the way up All the way up Put your hands all the way up All the way up   On top of the morning Underneath the sunlight We come with a warning Been doing it all night You say it's a lifetime Ain't nothing but an hour We got the rhythm, got the rhythm, got the rhythm   And we say  And we say  And we say  And we say    Increasing the insanity We came to be what we believe And even though we're under fold There ain't a soul without control  Put your hands all the way up All the way up Put your hands all the way up All the way up Put your hands all the way up All the way up Put your hands all the way up All the way up    Put your hands all the way up All the way up Put your hands all the way up All the way up Put your hands all the way up All the way up Put your hands all the way up All the way up1Embed"
